"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Manufacture of fabricated metal products, except machinery and equipment ",25,24,16.90,6.6,19.14,12.0,12.25,12.86,13.27,14.02,15.51,18.69,20.04,20.99,23.44,x,,,,,,,,
"EAST MIDLANDS, Manufacture of computer, electronic and optical products ",26,9,16.01,4.8,18.52,11.2,x,13.19,13.51,13.85,14.67,16.85,19.40,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of electrical equipment ",27,10,18.39,0.4,19.76,-4.5,x,13.85,14.80,14.96,16.89,19.09,20.08,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of machinery and equipment n.e.c. ",28,20,19.02,6.4,25.90,26.0,12.49,14.08,15.24,15.85,18.04,19.54,21.54,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of motor vehicles, trailers and semi-trailers ",29,9,16.18,1.9,18.68,2.9,x,12.27,12.62,13.73,14.56,17.16,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of other transport equipment ",30,31,28.35,0.6,28.96,1.0,17.47,22.00,24.14,24.75,26.18,30.74,32.56,33.64,34.99,x,,,,,,,,
"EAST MIDLANDS, Manufacture of furniture ",31,8,15.33,9.5,16.12,7.7,x,13.50,14.00,14.27,14.74,16.53,17.32,x,x,x,,,,,,,,
"EAST MIDLANDS, Other manufacturing ",32,7,16.10,5.9,19.77,2.7,x,x,13.02,13.66,15.20,16.38,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Repair and installation of machinery and equipment ",33,9,19.96,19.6,22.74,14.9,x,15.00,16.49,17.34,18.71,20.79,25.40,28.00,x,x,,,,,,,,
"EAST MIDLANDS, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,6,x,,27.68,11.2,x,13.18,13.62,13.97,17.76,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Electricity, gas, steam and air conditioning supply ",35,6,x,,27.68,11.2,x,13.18,13.62,13.97,17.76,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,17,16.52,5.9,17.99,10.5,11.95,13.44,13.85,14.38,15.05,17.97,19.20,19.81,x,x,,,,,,,,
"EAST MIDLANDS, Water collection, treatment and supply ",36,7,19.06,3.9,19.70,6.6,x,14.61,15.14,16.49,17.73,19.51,21.16,21.59,x,x,,,,,,,,
"EAST MIDLANDS, Sewerage ",37,x,14.83,1.1,14.96,-8.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Waste collection, treatment and disposal activities; materials recovery ",38,9,14.76,3.8,17.12,14.9,x,12.52,13.24,13.64,14.14,15.50,17.89,x,x,x,,,,,,,,
"EAST MIDLANDS, Remediation activities and other waste management services ",39,..,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, CONSTRUCTION ",F,70,18.44,6.9,21.22,4.4,11.95,13.33,14.09,14.99,16.78,20.43,23.09,24.99,26.19,x,,,,,,,,
"EAST MIDLANDS, Construction of buildings ",41,21,19.93,9.6,24.14,-0.8,12.08,14.06,14.52,15.47,17.97,22.20,26.77,29.95,x,x,,,,,,,,
"EAST MIDLANDS, Civil engineering ",42,12,18.95,5.2,21.83,11.2,x,13.30,14.71,15.26,17.54,21.28,22.99,x,x,x,,,,,,,,
"EAST MIDLANDS, Specialised construction activities ",43,37,17.34,5.5,19.32,5.7,11.93,13.18,13.58,14.46,15.73,19.37,21.66,23.09,24.82,x,,,,,,,,
"EAST MIDLANDS, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,301,13.70,8.6,17.06,5.6,11.44,11.68,11.94,12.07,12.68,14.83,16.71,18.00,19.77,26.41,,,,,,,,
"EAST MIDLANDS, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,40,14.65,5.9,16.62,1.2,11.44,11.94,12.34,12.78,13.93,15.45,17.25,18.14,19.47,x,,,,,,,,
"EAST MIDLANDS, Wholesale trade, except of motor vehicles and motorcycles ",46,105,15.93,3.9,19.03,3.1,11.67,12.50,12.86,13.43,14.48,17.82,19.86,21.38,23.87,31.43,,,,,,,,
"EAST MIDLANDS, Retail trade, except of motor vehicles and motorcycles ",47,157,12.44,8.9,15.51,10.7,11.22,11.47,11.56,11.75,12.03,13.17,14.22,15.00,16.51,22.16,,,,,,,,
"EAST MIDLANDS, TRANSPORTATION AND STORAGE ",H,93,15.08,5.8,17.80,8.9,11.92,12.64,13.20,13.70,14.45,16.27,17.67,19.07,20.45,x,,,,,,,,
"EAST MIDLANDS, Land transport and transport via pipelines ",49,28,14.68,5.5,16.47,10.5,11.60,12.57,13.07,13.45,14.01,15.26,16.50,17.05,18.22,x,,,,,,,,
"EAST MIDLANDS, Water transport ",50,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Air transport ",51,x,x,,18.79,0.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Warehousing and support activities for transportation ",52,43,15.26,9.4,18.81,6.6,12.11,12.55,12.67,13.16,14.22,16.67,19.37,20.61,22.84,x,,,,,,,,
"EAST MIDLANDS, Postal and courier activities ",53,21,15.67,7.7,17.45,5.2,12.97,14.15,14.45,14.45,14.98,16.50,17.62,18.61,19.33,x,,,,,,,,
"EAST MIDLANDS, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,86,11.68,9.7,12.82,6.1,8.60,10.50,11.40,11.44,11.50,12.00,12.55,12.98,13.62,15.61,,,,,,,,
"EAST MIDLANDS, Accommodation ",55,22,11.95,7.0,13.52,2.2,9.16,11.30,x,11.44,11.64,12.36,12.95,13.54,14.09,x,,,,,,,,
"EAST MIDLANDS, Food and beverage service activities ",56,64,11.63,10.4,12.55,7.5,8.47,9.99,11.04,x,11.44,12.00,12.42,12.77,13.45,15.29,,,,,,,,
"EAST MIDLANDS, INFORMATION AND COMMUNICATION ",J,48,19.88,4.5,24.01,5.9,12.26,13.97,14.95,15.81,18.38,22.84,25.56,27.62,31.12,x,,,,,,,,
"EAST MIDLANDS, Publishing activities ",58,x,16.34,5.0,18.19,-2.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,12.60,,14.08,9.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Programming and broadcasting activities ",60,..,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Telecommunications ",61,8,22.31,19.5,24.27,14.8,x,17.49,18.34,19.14,19.96,23.26,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Computer programming, consultancy and related activities ",62,33,19.89,-9.1,24.94,2.4,12.26,13.84,14.93,15.69,18.26,24.09,26.85,28.27,33.24,x,,,,,,,,
"EAST MIDLANDS, Information service activities ",63,x,19.97,39.7,19.61,13.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, FINANCIAL AND INSURANCE ACTIVITIES ",K,42,21.07,5.0,24.65,11.1,12.72,15.29,15.84,16.87,18.55,23.75,26.87,29.29,32.03,x,,,,,,,,
"EAST MIDLANDS, Financial service activities, except insurance and pension funding ",64,28,21.85,-0.2,25.53,1.6,13.13,15.60,16.43,17.31,19.79,24.65,28.09,30.45,32.61,x,,,,,,,,
"EAST MIDLANDS, Insurance, reinsurance and pension funding, except compulsory social security ",65,x,12.70,,16.72,-1.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Activities auxiliary to financial services and insurance activities ",66,12,19.00,15.0,24.18,29.4,12.97,15.22,15.69,16.66,17.88,22.93,26.91,x,x,x,,,,,,,,
"EAST MIDLANDS, REAL ESTATE ACTIVITIES ",L,20,15.75,10.0,18.74,4.9,11.83,12.82,13.13,13.67,14.47,17.30,19.26,20.61,x,x,,,,,,,,
"EAST MIDLANDS, Real estate activities ",68,20,15.75,10.0,18.74,4.9,11.83,12.82,13.13,13.67,14.47,17.30,19.26,20.61,x,x,,,,,,,,
"EAST MIDLANDS, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,113,17.55,5.3,21.49,8.1,12.00,13.28,13.95,14.45,15.96,20.07,23.00,24.41,26.83,34.99,,,,,,,,
"EAST MIDLANDS, Legal and accounting activities ",69,28,16.76,10.1,21.43,9.8,11.96,12.73,13.38,14.18,15.17,20.44,23.39,24.12,x,x,,,,,,,,
"EAST MIDLANDS, Activities of head offices; management consultancy activities ",70,22,17.92,-2.0,21.15,1.7,12.00,13.12,13.57,15.01,16.61,19.66,21.93,23.30,x,x,,,,,,,,
"EAST MIDLANDS, Architectural and engineering activities; technical testing and analysis ",71,34,18.64,8.3,22.49,10.9,12.79,13.96,14.82,15.15,16.52,21.30,23.56,25.27,28.95,x,,,,,,,,
"EAST MIDLANDS, Scientific research and development ",72,13,19.42,1.9,22.05,5.1,13.52,15.45,15.93,16.09,17.48,20.75,24.26,x,x,x,,,,,,,,
"EAST MIDLANDS, Advertising and market research ",73,x,14.37,10.1,16.39,11.2,x,x,x,12.71,13.39,15.79,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Other professional, scientific and technical activities ",74,8,15.45,0.3,21.90,17.4,x,12.03,12.51,12.67,14.10,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Veterinary activities ",75,x,13.34,3.3,15.07,-1.7,x,x,x,11.97,12.15,14.13,x,x,x,x,,,,,,,,
"EAST MIDLANDS, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,126,13.57,9.5,16.80,10.0,11.44,11.67,11.93,12.02,12.60,14.70,16.67,17.70,19.63,24.60,,,,,,,,
"EAST MIDLANDS, Rental and leasing activities ",77,12,15.63,0.7,19.46,8.8,x,12.10,12.55,13.19,14.31,17.79,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Employment activities ",78,37,13.87,14.3,16.69,13.5,11.44,11.55,12.00,12.05,12.82,14.97,16.74,17.42,19.55,x,,,,,,,,
"EAST MIDLANDS, Travel agency, tour operator and other reservation service and related activities ",79,x,20.15,,25.67,3.3,x,x,x,17.99,19.56,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Security and investigation activities ",80,24,12.60,1.6,14.54,5.3,11.44,11.84,11.97,12.02,12.40,13.24,14.29,14.77,15.52,x,,,,,,,,
"EAST MIDLANDS, Services to buildings and landscape activities ",81,25,12.26,6.8,15.27,8.2,11.43,11.44,11.45,11.50,11.87,13.30,14.33,15.00,16.28,x,,,,,,,,
"EAST MIDLANDS, Office administrative, office support and other business support activities ",82,25,14.40,15.4,17.25,15.5,11.45,11.96,12.06,12.35,13.46,16.59,18.00,20.00,21.00,x,,,,,,,,
"EAST MIDLANDS, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,90,17.58,8.4,19.46,6.3,12.99,13.98,14.43,14.95,16.08,18.84,20.48,22.27,23.25,27.86,,,,,,,,
"EAST MIDLANDS, Public administration and defence; compulsory social security ",84,90,17.58,8.4,19.46,6.3,12.99,13.98,14.43,14.95,16.08,18.84,20.48,22.27,23.25,27.86,,,,,,,,
"EAST MIDLANDS, EDUCATION ",P,260,17.69,5.5,20.65,5.0,11.97,12.84,13.43,13.95,15.67,20.34,23.89,25.51,27.20,30.79,,,,,,,,
"EAST MIDLANDS, Education ",85,260,17.69,5.5,20.65,5.0,11.97,12.84,13.43,13.95,15.67,20.34,23.89,25.51,27.20,30.79,,,,,,,,
"EAST MIDLANDS, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,264,14.61,6.6,18.03,3.1,11.47,11.92,12.18,12.47,13.37,17.20,19.45,21.41,22.37,26.58,,,,,,,,
"EAST MIDLANDS, Human health activities ",86,159,18.09,3.5,20.37,1.2,11.68,12.71,13.28,14.08,16.09,19.90,22.08,23.43,25.08,29.36,,,,,,,,
"EAST MIDLANDS, Residential care activities ",87,54,12.45,9.3,14.85,9.3,11.41,11.50,11.59,11.67,12.00,13.01,13.84,15.01,17.10,x,,,,,,,,
"EAST MIDLANDS, Social work activities without accommodation ",88,51,12.77,6.7,14.58,6.1,11.44,11.62,11.79,11.95,12.23,13.60,14.37,14.82,16.05,x,,,,,,,,
"EAST MIDLANDS, ARTS, ENTERTAINMENT AND RECREATION ",R,42,13.21,6.7,18.64,10.9,11.00,11.45,11.60,11.80,12.49,14.76,16.30,17.24,x,x,,,,,,,,
"EAST MIDLANDS, Creative, arts and entertainment activities ",90,x,15.62,,18.80,7.7,x,x,x,x,14.76,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Libraries, archives, museums and other cultural activities ",91,x,15.08,8.1,16.70,8.6,x,x,x,x,13.39,15.28,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Gambling and betting activities ",92,x,12.84,,13.12,-8.4,x,x,x,x,12.12,13.00,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Sports activities and amusement and recreation activities ",93,32,12.79,9.4,19.46,12.9,10.42,11.44,11.50,11.63,12.00,14.13,16.39,x,x,x,,,,,,,,
"EAST MIDLANDS, OTHER SERVICE ACTIVITIES ",S,34,14.10,9.9,18.64,10.3,11.44,11.57,11.96,12.19,12.99,15.76,18.62,19.88,21.68,x,,,,,,,,
"EAST MIDLANDS, Activities of membership organisations ",94,17,16.85,28.1,20.63,15.3,11.63,12.00,12.51,12.98,14.94,19.20,20.61,21.94,x,x,,,,,,,,
"EAST MIDLANDS, Repair of computers and personal and household goods ",95,x,20.66,,22.37,21.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Other personal service activities ",96,15,12.69,4.0,15.39,1.7,11.43,11.44,11.46,11.50,12.04,13.48,14.06,14.31,x,x,,,,,,,,
"EAST MIDLANDS, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,x,11.82,7.5,13.43,7.1,x,x,x,x,11.46,12.16,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Activities of households as employers of domestic personnel ",97,x,11.82,7.5,13.43,7.1,x,x,x,x,11.46,12.16,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
West Midlands All Industries and Services,,"2,226",15.97,5.0,20.00,5.5,11.50,12.17,12.58,13.10,14.36,18.10,20.91,22.58,24.73,31.25,,,,,,,,
West Midlands All Index of Production Industries,,293,16.73,-1.8,19.25,-1.7,11.94,12.81,13.31,13.95,15.29,18.38,20.46,21.94,23.91,28.75,,,,,,,,
West Midlands All Manufacturing,,263,16.49,-3.0,19.12,-2.5,11.91,12.75,13.24,13.76,15.16,18.13,20.22,21.77,23.71,28.72,,,,,,,,
West Midlands All Service Industries,,"1,840",15.73,6.4,20.10,6.6,11.49,12.04,12.47,12.96,14.16,18.03,20.97,22.64,24.89,31.46,,,,,,,,
"WEST MIDLANDS, AGRICULTURE, FORESTRY AND FISHING ",A,13,13.44,4.6,14.97,5.6,x,11.45,11.61,11.94,12.78,14.00,15.39,16.13,x,x,,,,,,,,
"WEST MIDLANDS, Crop and animal production, hunting and related service activities ",1,13,13.00,1.7,14.90,5.7,x,11.44,11.50,11.83,12.74,14.00,15.31,x,x,x,,,,,,,,
"WEST MIDLANDS, Forestry and logging ",2,x,16.27,4.1,16.97,3.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, MINING AND QUARRYING ",B,x,14.54,,14.61,-23.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Other mining and quarrying ",8,x,14.54,5.5,14.61,-13.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Mining support service activities ",9,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, MANUFACTURING ",C,263,16.49,-3.0,19.12,-2.5,11.91,12.75,13.24,13.76,15.16,18.13,20.22,21.77,23.71,28.72,,,,,,,,
"WEST MIDLANDS, Manufacture of food products ",10,33,13.50,3.0,15.47,-1.8,11.52,12.00,12.21,12.36,13.00,14.41,15.67,16.34,17.18,x,,,,,,,,
"WEST MIDLANDS, Manufacture of beverages ",11,6,19.27,2.0,20.87,-1.4,x,x,x,17.46,18.29,19.92,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Manufacture of textiles ",13,x,11.63,1.6,13.34,1.5,x,x,x,x,x,12.04,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of wearing apparel ",14,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Manufacture of leather and related products ",15,x,17.60,2.5,17.58,-2.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,6,14.00,4.4,16.68,12.0,x,12.41,12.94,13.03,13.31,15.08,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of paper and paper products ",17,x,13.66,0.0,18.30,3.2,x,x,x,x,12.80,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Printing and reproduction of recorded media ",18,x,12.75,1.2,16.27,5.1,x,x,x,11.65,11.73,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of coke and refined petroleum products ",19,x,16.52,32.2,16.19,23.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of chemicals and chemical products ",20,7,16.91,3.8,19.15,1.9,x,13.15,13.51,14.54,15.83,17.64,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,x,,16.67,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of rubber and plastic products ",22,21,15.07,4.9,19.38,5.2,11.80,12.66,13.16,13.46,14.12,17.47,19.01,20.97,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of other non-metallic mineral products ",23,14,16.56,-0.2,19.18,9.6,11.87,12.63,13.01,13.75,14.78,18.65,21.52,22.51,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of basic metals ",24,10,16.31,0.1,17.72,0.3,x,13.39,14.08,14.39,15.61,17.85,19.44,19.53,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of fabricated metal products, except machinery and equipment ",25,45,15.99,5.0,17.80,4.5,11.98,12.67,13.19,13.65,14.94,17.09,19.16,19.90,21.79,x,,,,,,,,
"WEST MIDLANDS, Manufacture of computer, electronic and optical products ",26,8,16.23,-0.7,18.31,-11.7,x,12.60,13.11,13.52,15.30,17.57,19.15,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of electrical equipment ",27,12,19.11,16.4,22.60,9.5,12.65,13.84,14.57,15.29,17.32,25.02,27.62,28.48,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of machinery and equipment n.e.c. ",28,34,19.40,4.7,21.47,0.7,12.65,15.27,15.87,16.81,18.06,21.36,22.85,24.34,25.90,x,,,,,,,,
"WEST MIDLANDS, Manufacture of motor vehicles, trailers and semi-trailers ",29,22,17.55,-26.9,21.20,-14.8,12.26,13.24,14.02,14.78,16.23,18.86,22.76,25.29,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of other transport equipment ",30,10,20.99,-4.2,23.31,-2.3,13.09,15.88,16.47,17.86,19.78,24.32,25.44,x,x,x,,,,,,,,
"WEST MIDLANDS, Manufacture of furniture ",31,x,13.94,4.4,17.37,5.8,x,x,12.42,12.65,13.14,14.77,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Other manufacturing ",32,10,16.59,10.2,20.56,22.0,11.44,12.58,13.00,13.21,14.38,18.96,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Repair and installation of machinery and equipment ",33,9,17.97,4.6,20.13,14.3,x,13.21,14.02,14.95,16.83,19.46,21.76,x,x,x,,,,,,,,
"WEST MIDLANDS, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,7,21.58,7.5,25.25,2.2,x,15.29,16.31,17.80,19.78,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Electricity, gas, steam and air conditioning supply ",35,7,21.58,7.5,25.25,2.2,x,15.29,16.31,17.80,19.78,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,21,18.39,12.5,19.05,7.4,12.16,13.04,14.00,14.41,16.57,19.91,20.92,22.19,23.45,x,,,,,,,,
"WEST MIDLANDS, Water collection, treatment and supply ",36,9,20.53,9.5,21.97,7.9,14.70,16.70,16.83,18.16,19.77,22.02,23.36,x,x,x,,,,,,,,
"WEST MIDLANDS, Sewerage ",37,x,x,,19.08,27.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Waste collection, treatment and disposal activities; materials recovery ",38,11,14.68,-0.2,16.89,5.6,11.73,12.53,12.98,13.04,14.10,16.82,18.88,19.64,x,x,,,,,,,,
"WEST MIDLANDS, Remediation activities and other waste management services ",39,..,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, CONSTRUCTION ",F,80,17.89,9.8,21.71,14.3,12.03,13.29,14.03,14.83,16.19,19.42,22.30,25.31,27.63,x,,,,,,,,
"WEST MIDLANDS, Construction of buildings ",41,23,18.79,12.6,23.88,15.5,12.03,13.87,14.74,15.15,16.72,21.64,27.28,29.66,x,x,,,,,,,,
"WEST MIDLANDS, Civil engineering ",42,14,21.64,14.6,26.28,18.6,12.79,15.56,16.41,17.28,19.37,26.16,27.42,30.93,x,x,,,,,,,,
"WEST MIDLANDS, Specialised construction activities ",43,43,16.55,10.3,18.87,10.9,11.98,13.00,13.41,14.00,15.19,17.97,19.37,20.46,22.17,x,,,,,,,,
"WEST MIDLANDS, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,322,13.59,7.6,17.28,8.0,11.44,11.65,11.91,12.03,12.68,14.92,16.64,18.02,19.71,25.43,,,,,,,,
"WEST MIDLANDS, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,52,15.45,9.5,18.13,6.2,11.50,12.18,12.50,13.03,14.17,16.66,18.43,19.71,21.26,x,,,,,,,,
"WEST MIDLANDS, Wholesale trade, except of motor vehicles and motorcycles ",46,106,15.84,7.3,19.46,9.7,11.81,12.50,12.99,13.45,14.71,17.47,20.01,22.10,23.93,x,,,,,,,,
"WEST MIDLANDS, Retail trade, except of motor vehicles and motorcycles ",47,164,12.35,8.5,15.01,7.4,11.18,11.45,11.55,11.67,12.00,13.00,13.96,14.62,15.82,19.89,,,,,,,,
"WEST MIDLANDS, TRANSPORTATION AND STORAGE ",H,95,15.18,1.7,18.17,4.1,11.77,12.55,12.96,13.43,14.26,16.49,18.40,19.86,21.54,28.90,,,,,,,,
"WEST MIDLANDS, Land transport and transport via pipelines ",49,27,15.41,1.7,18.77,7.3,12.00,13.01,13.36,13.57,14.50,17.00,19.25,20.88,22.44,x,,,,,,,,
"WEST MIDLANDS, Water transport ",50,..,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Air transport ",51,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Warehousing and support activities for transportation ",52,44,14.60,-0.5,17.95,1.3,11.51,12.30,12.46,12.72,13.96,16.13,18.35,19.86,21.21,x,,,,,,,,
"WEST MIDLANDS, Postal and courier activities ",53,22,15.43,6.1,17.53,5.9,12.36,13.23,14.01,14.38,14.62,16.52,17.97,19.31,19.73,x,,,,,,,,
"WEST MIDLANDS, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,109,11.86,8.0,14.79,9.1,8.69,11.05,x,11.44,11.54,12.29,13.02,13.75,14.78,x,,,,,,,,
"WEST MIDLANDS, Accommodation ",55,16,12.01,3.5,13.84,4.7,10.90,11.39,11.44,11.49,11.79,12.40,13.29,13.89,x,x,,,,,,,,
"WEST MIDLANDS, Food and beverage service activities ",56,94,11.80,8.2,14.97,10.0,8.60,10.46,x,11.44,11.50,12.24,13.00,13.71,15.00,x,,,,,,,,
"WEST MIDLANDS, INFORMATION AND COMMUNICATION ",J,81,23.55,5.7,26.75,6.9,13.79,16.27,17.52,18.58,21.22,26.52,30.19,32.02,34.00,x,,,,,,,,
"WEST MIDLANDS, Publishing activities ",58,x,17.56,18.0,17.31,9.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Programming and broadcasting activities ",60,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Telecommunications ",61,22,23.68,8.8,25.61,14.9,14.40,17.27,17.61,19.31,21.68,25.62,27.83,28.83,31.07,x,,,,,,,,
"WEST MIDLANDS, Computer programming, consultancy and related activities ",62,53,24.28,1.6,28.07,4.2,14.09,17.19,18.34,19.75,21.85,27.93,31.94,33.63,34.61,x,,,,,,,,
"WEST MIDLANDS, Information service activities ",63,x,15.04,30.5,15.29,30.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, FINANCIAL AND INSURANCE ACTIVITIES ",K,71,20.57,3.6,25.76,5.3,13.10,14.42,15.18,16.19,18.11,23.95,27.65,29.32,33.77,x,,,,,,,,
"WEST MIDLANDS, Financial service activities, except insurance and pension funding ",64,38,21.35,4.7,27.05,4.0,13.52,14.84,15.69,16.42,19.17,25.39,28.77,31.13,34.27,x,,,,,,,,
"WEST MIDLANDS, Insurance, reinsurance and pension funding, except compulsory social security ",65,13,23.59,-0.7,26.36,1.2,13.85,14.88,16.69,17.86,20.18,25.24,28.96,x,x,x,,,,,,,,
"WEST MIDLANDS, Activities auxiliary to financial services and insurance activities ",66,20,17.80,-1.2,22.90,7.9,12.30,13.18,13.83,14.80,16.73,18.96,21.98,25.53,x,x,,,,,,,,
"WEST MIDLANDS, REAL ESTATE ACTIVITIES ",L,35,15.99,9.7,19.13,11.2,11.58,12.57,13.02,13.47,15.02,17.34,18.92,19.71,20.94,x,,,,,,,,
"WEST MIDLANDS, Real estate activities ",68,35,15.99,9.7,19.13,11.2,11.58,12.57,13.02,13.47,15.02,17.34,18.92,19.71,20.94,x,,,,,,,,
"WEST MIDLANDS, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,126,17.89,0.0,23.25,5.0,12.00,12.98,13.75,14.44,15.93,21.01,25.02,27.09,30.67,39.05,,,,,,,,
